rounds,p,mean_gain,std_dev_gain,min_gain,max_gain
3,0.0001,0.34133094073066217,0.16407109282150714,0.17645294176471538,1.4998500050000807
3,0.00021544346900318845,0.33729304493964773,0.09134458892764984,0.19005622627779445,0.646191169344501
3,0.00046415888336127773,0.32181215275897634,0.04950397251055611,0.22816892125849697,0.5154927480284561
3,0.001,0.32046614814498176,0.03367593411527856,0.26289482456140345,0.4162501388888888
3,0.002154434690031882,0.3196744511506562,0.019537995473202195,0.26984892483659967,0.3749644943950426
3,0.004641588833612777,0.3183699134787298,0.015329420442540187,0.28696135528234606,0.3705944775437785
3,0.01,0.32435590421528454,0.00951574201809534,0.3015329949238576,0.35190758293838836
3,0.021544346900318822,0.3376030308472447,0.006719682984504916,0.3233668918756268,0.3577520591112703
3,0.046415888336127774,0.3737368814477127,0.004895394871847513,0.36327053290947947,0.3887781186023628
3,0.1,0.5614680549196028,0.006238642055845292,0.5479175090982611,0.5839258780435249
5,0.0001,0.6072829732222854,0.24898359569501802,0.29405882941143724,1.666333366664811
5,0.00021544346900318845,0.5614951597152839,0.1547500134127648,0.3589177620405559,1.1963925401351865
5,0.00046415888336127773,0.5187849548309229,0.07967959593471308,0.3739743519168192,0.8280860649586711
5,0.001,0.5106794230980135,0.051927582685245555,0.3960325392857927,0.6930569437501373
5,0.002154434690031882,0.49381868438708837,0.032535935115228995,0.4360104656157634,0.5958809696748767
5,0.004641588833612777,0.4580682521365037,0.0189853400373622,0.42738844573272566,0.5087057163809876
5,0.01,0.41980470106444734,0.012031779432571395,0.39333828330658177,0.45379583425926007
5,0.021544346900318822,0.40491958458081834,0.006797573549723245,0.38862174422683643,0.41908640573608885
5,0.046415888336127774,0.48263185637769396,0.00511872887702511,0.4711786640223232,0.5001468486157978
5,0.1,0.821515801661276,0.007320154002903644,0.8069162561576354,0.8427865816011524
10,0.0001,1.2058891926131057,0.548618123875478,0.5553056222104866,3.3318337332629198
10,0.00021544346900318845,1.0964798943857785,0.2249794183392006,0.6522264165466993,1.6556516727723907
10,0.00046415888336127773,1.029710381399269,0.1774454689094418,0.7237352918383795,1.6542520956305817
10,0.001,0.9394903072732972,0.0846911476941965,0.7485052473873508,1.1442666425576742
10,0.002154434690031882,0.8310159458276385,0.05216875318711886,0.7307079071975645,0.9654602212746101
10,0.004641588833612777,0.6865535486080206,0.025540558931730822,0.623570587010575,0.7415708938510754
10,0.01,0.560607144277199,0.01162814515657206,0.5259511825698328,0.5927955672113799
10,0.021544346900318822,0.5401590919726945,0.007406785380672972,0.5220384770879688,0.5567915364446074
10,0.046415888336127774,0.7688478039666649,0.006984829189220438,0.7532593292483015,0.7861322426194868
10,0.1,1.3036378358301273,0.010889812660889555,1.2788563909287256,1.332218367559828
